Time: 16:31:50  Err: 启动服务------16:31:50
Time: 16:31:55  Err: 测试运行------16:31:55
Time: 16:32:00  Err: 测试运行------16:32:00
Time: 16:32:05  Err: 测试运行------16:32:05
Time: 16:32:10  Err: 测试运行------16:32:10
Time: 16:32:15  Err: 测试运行------16:32:15
Time: 16:32:20  Err: 测试运行------16:32:20
Time: 16:32:25  Err: 测试运行------16:32:25
Time: 16:32:30  Err: 测试运行------16:32:30
Time: 16:32:35  Err: 测试运行------16:32:35
Time: 16:32:40  Err: 测试运行------16:32:40
Time: 16:32:45  Err: 测试运行------16:32:45
Time: 16:32:50  Err: 测试运行------16:32:50
Time: 16:32:55  Err: 测试运行------16:32:55
Time: 16:33:00  Err: 测试运行------16:33:00
Time: 16:33:05  Err: 测试运行------16:33:05
Time: 16:33:10  Err: 测试运行------16:33:10
Time: 16:33:15  Err: 测试运行------16:33:15
Time: 16:33:20  Err: 测试运行------16:33:20
Time: 16:33:25  Err: 测试运行------16:33:25
Time: 16:33:30  Err: 测试运行------16:33:30
Time: 16:33:35  Err: 测试运行------16:33:35
Time: 16:33:40  Err: 测试运行------16:33:40
Time: 16:33:45  Err: 测试运行------16:33:45
Time: 16:33:50  Err: 测试运行------16:33:50
Time: 16:33:55  Err: 测试运行------16:33:55
Time: 16:34:00  Err: 测试运行------16:34:00
Time: 16:34:05  Err: 测试运行------16:34:05
Time: 16:34:10  Err: 测试运行------16:34:10
Time: 16:34:15  Err: 测试运行------16:34:15
Time: 16:34:20  Err: 测试运行------16:34:20
Time: 16:34:25  Err: 测试运行------16:34:25
Time: 16:34:30  Err: 测试运行------16:34:30
Time: 16:34:35  Err: 测试运行------16:34:35
Time: 16:34:40  Err: 测试运行------16:34:40
Time: 16:34:45  Err: 测试运行------16:34:45
Time: 16:34:50  Err: 测试运行------16:34:50
Time: 16:34:55  Err: 测试运行------16:34:55
Time: 16:35:00  Err: 测试运行------16:35:00
Time: 16:35:05  Err: 测试运行------16:35:05
Time: 16:35:10  Err: 测试运行------16:35:10
Time: 16:35:15  Err: 测试运行------16:35:15
Time: 16:35:20  Err: 测试运行------16:35:20
Time: 16:35:23  Err: 正在中止线程。------16:35:23
Time: 16:35:23  Err: 关闭服务------16:35:23
